Nombre Parcel·la,Distància al camí (m),Espècie,Estrat
0,0,Lonicera implexa,Arbust
0,0,Pistacia lentiscus,Arbust
0,0,Dorycnium pentaphyllum,Arbust
0,0,Quercus robur,Arbre
0,0,Quercus robur,Arbust
0,0,Quercus ilex,Arbre
0,0,Quercus ilex,Arbust
0,0,Ulex parviflorus,Arbust
0,0,Quercus coccifera,Arbust
0,0,Viburnum tinus,Arbust
0,0,Arbutus unedo,Arbust
0,0,Cistus ladanifer,Arbust
1,5,Quercus ilex,Arbre
1,5,Quercus ilex,Arbust
1,5,Quercus robur,Arbre
1,5,Ruscus aculeatus,Arbust
1,5,Hedera helix,Lianòide
1,5,Rhamnus alaternus,Arbust
1,5,Pistacia lentiscus,Arbust
1,5,Arbutus unedo,Arbust
2,10,Quercus ilex,Arbre
2,10,Quercus ilex,Arbust
2,10,Quercus robur,Arbre
2,10,Quercus robur,Arbust
2,10,Pistacia lentiscus,Arbust
2,10,Hedera helix,Lianòide
3,15,Hedera helix,Lianòide
3,15,Quercus ilex,Arbre
3,15,"Rubia peregrina
",Arbust
3,15,Lonicera implexa,Lianòide
3,15,Quercus robur,Arbre
3,15,Rhamnus alaternus,Arbust
3,15,Arbutus unedo,Arbust
3,15,Viburnum tinus,Arbust
4,20,Hedera helix,Lianòide
4,20,"Erica arborea
",Arbust
4,20,Quercus robur,Arbre
4,20,Quercus ilex,Arbust
4,20,Arbutus unedo,Arbust
4,20,Cistus salviifolius,Arbust
5,25,Quercus ilex,Arbre
5,25,Quercus robur,Arbust
5,25,Quercus ilex,Arbust
5,25,"Viburnum tinus
",Arbust
